cycle,branch,expression,forecastdate,seatprob_Dparty,seatprob_Rparty,seatsheld,simulations,timestamp,chamber_Dparty,chamber_Rparty
,Senate,_lite,11/8/22,,,99,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,98,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,97,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,96,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,95,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,94,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,93,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,92,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,91,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,90,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,9,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,89,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,88,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,87,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,86,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,85,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,84,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,83,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,82,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,81,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,80,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,8,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,79,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,78,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,77,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,76,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,75,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,74,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,73,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,72,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,71,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,70,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,7,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,69,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,68,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,67,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,66,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,65,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,64,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,63,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,5e-05,,62,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,0.00025,7.5e-05,61,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,6,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,5,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,4,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,7.5e-05,0.00025,39,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,5e-05,38,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,37,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,36,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,35,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,34,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,33,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,32,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,31,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,30,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,3,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,29,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,28,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,27,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,26,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,25,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,24,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,23,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,22,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,21,40000,00:12:39  8 Nov 2022,,
2022.0,Senate,_lite,11/8/22,0.0008,7.5e-05,60,40000,00:12:39  8 Nov 2022,,
2022.0,Senate,_lite,11/8/22,0.001475,0.000225,59,40000,00:12:39  8 Nov 2022,,
2022.0,Senate,_lite,11/8/22,0.003725,0.001375,58,40000,00:12:39  8 Nov 2022,,
2022.0,Senate,_lite,11/8/22,0.008525,0.005225,57,40000,00:12:39  8 Nov 2022,,
2022.0,Senate,_lite,11/8/22,0.015625,0.02085,56,40000,00:12:39  8 Nov 2022,,
